23:42:37.871 [ApplicationImpl pooled thread 342] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:48:15.744 [ApplicationImpl pooled thread 334] INFO  c.b.l.BrowserStackRunExtension - testng
23:48:15.744 [ApplicationImpl pooled thread 334] INFO  com.browserstack.utils.Helpers - null
23:48:15.746 [ApplicationImpl pooled thread 334] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:48:50.692 [ApplicationImpl pooled thread 348] INFO  c.b.l.BrowserStackRunExtension - testng
23:48:50.692 [ApplicationImpl pooled thread 348] INFO  com.browserstack.utils.Helpers - null
23:48:50.693 [ApplicationImpl pooled thread 348] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:49:22.205 [ApplicationImpl pooled thread 346] INFO  c.b.l.BrowserStackRunExtension - testng
23:49:22.205 [ApplicationImpl pooled thread 346] INFO  com.browserstack.utils.Helpers - null
23:49:22.206 [ApplicationImpl pooled thread 346] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:50:36.595 [ApplicationImpl pooled thread 345] INFO  c.b.l.BrowserStackRunExtension - testng
23:50:36.595 [ApplicationImpl pooled thread 345] INFO  com.browserstack.utils.Helpers - null
23:50:36.595 [ApplicationImpl pooled thread 345] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:51:17.642 [ApplicationImpl pooled thread 338] INFO  c.b.l.BrowserStackRunExtension - testng
23:51:17.642 [ApplicationImpl pooled thread 338] INFO  com.browserstack.utils.Helpers - null
23:51:17.643 [ApplicationImpl pooled thread 338] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:52:08.720 [ApplicationImpl pooled thread 349] INFO  c.b.l.BrowserStackRunExtension - testng
23:52:08.720 [ApplicationImpl pooled thread 349] INFO  com.browserstack.utils.Helpers - null
23:52:08.722 [ApplicationImpl pooled thread 349] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:53:25.718 [ApplicationImpl pooled thread 341] INFO  c.b.l.BrowserStackRunExtension - testng
23:53:25.718 [ApplicationImpl pooled thread 341] INFO  com.browserstack.utils.Helpers - null
23:53:25.719 [ApplicationImpl pooled thread 341] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:25:00.011 [ApplicationImpl pooled thread 366] INFO  c.b.l.BrowserStackRunExtension - testng
02:25:00.011 [ApplicationImpl pooled thread 366] INFO  com.browserstack.utils.Helpers - null
02:25:00.012 [ApplicationImpl pooled thread 366] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:26:33.714 [ApplicationImpl pooled thread 364] INFO  c.b.l.BrowserStackRunExtension - testng
02:26:33.714 [ApplicationImpl pooled thread 364] INFO  com.browserstack.utils.Helpers - null
02:26:33.715 [ApplicationImpl pooled thread 364] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:27:25.343 [ApplicationImpl pooled thread 370] INFO  c.b.l.BrowserStackRunExtension - testng
02:27:25.344 [ApplicationImpl pooled thread 370] INFO  com.browserstack.utils.Helpers - null
02:27:25.345 [ApplicationImpl pooled thread 370] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:17:25.590 [ApplicationImpl pooled thread 394] INFO  c.b.l.BrowserStackRunExtension - testng
03:17:25.591 [ApplicationImpl pooled thread 394] INFO  com.browserstack.utils.Helpers - null
03:17:25.593 [ApplicationImpl pooled thread 394] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:20:25.442 [ApplicationImpl pooled thread 401] INFO  c.b.l.BrowserStackRunExtension - testng
03:20:25.442 [ApplicationImpl pooled thread 401] INFO  com.browserstack.utils.Helpers - null
